POI_ID,Name,City,Type,Category,Latitude,Longitude,Cost_LKR,Time_Mins,Interest_Beach,Interest_Nature,Interest_History,Interest_Religious
1,Gangaramaya Temple,Colombo,Landmark,Temple,6.9167,79.8566,400,60,0,0,1,1.0
2,Galle Face Green,Colombo,Landmark,Park,6.9271,79.8446,0,90,1,1,1,0.0
3,Viharamahadevi Park,Colombo,Landmark,Park,6.9142,79.8606,0,60,0,1,0,0.0
4,Independence Square,Colombo,Landmark,Monument,6.9042,79.8674,0,45,0,0,1,0.0
5,National Museum of Colombo,Colombo,Landmark,Museum,6.9105,79.8604,1500,120,0,0,1,0.0
6,Jami Ul-Alfar Mosque,Colombo,Landmark,Mosque,6.9385,79.8515,0,30,0,0,1,1.0
7,Lotus Tower,Colombo,Landmark,Viewpoint,6.9272,79.8584,4000,90,0,0,0,0.0
8,Seema Malakaya,Colombo,Landmark,Temple,6.9166,79.8552,300,30,0,1,1,1.0
9,Dutch Hospital Shopping Precinct,Colombo,Landmark,Historic,6.9329,79.8437,0,60,0,0,1,0.0
10,Colombo Port Maritime Museum,Colombo,Landmark,Museum,6.9405,79.8465,500,60,1,0,1,0.0
11,Kelaniya Raja Maha Vihara,Colombo,Landmark,Temple,6.9535,79.919,0,90,0,0,1,1.0
12,Beira Lake,Colombo,Landmark,Lake,6.9213,79.8524,0,45,0,1,0,0.0
13,Mount Lavinia Beach,Colombo,Landmark,Beach,6.834,79.8615,0,120,1,1,0,0.0
14,Sri Kailawasanathan Swami Devasthanam Kovil,Colombo,Landmark,Temple,6.9264,79.8517,0,45,0,0,1,1.0
15,Pettah Floating Market,Colombo,Landmark,Market,6.9327,79.8526,0,60,0,0,0,0.0
16,Old Parliament Building,Colombo,Landmark,Monument,6.9317,79.8427,0,30,1,0,1,0.0
17,World Trade Center Colombo,Colombo,Landmark,Architecture,6.9328,79.8437,0,30,0,0,0,0.0
18,Crow Island Beach Park,Colombo,Landmark,Park,6.9749,79.869,0,90,1,1,0,0.0
19,Beddagana Wetland Park,Colombo,Landmark,Park,6.8906,79.9079,200,90,0,1,0,0.0
20,Bellanwila Rajamaha Viharaya,Colombo,Landmark,Temple,6.8458,79.9023,0,60,0,0,1,1.0
21,Independence Memorial Museum,Colombo,Landmark,Museum,6.9043,79.8672,300,60,0,0,1,0.0
22,Ape Gama,Colombo,Landmark,Cultural,6.8856,79.9157,500,90,0,0,1,0.0
23,Diyatha Uyana,Colombo,Landmark,Park,6.9009,79.9164,0,90,0,1,0,0.0
24,Nelum Pokuna,Colombo,Landmark,Architecture,6.9114,79.8623,0,30,0,0,0,0.0
25,Asokaramaya Buddhist Temple,Colombo,Landmark,Temple,6.8855,79.8631,0,45,0,0,1,1.0
26,Ministry of Crab,Colombo,Restaurant,Fine Dining,6.9328,79.8438,15000,120,0,0,0,0.0
27,Nuga Gama,Colombo,Restaurant,Local,6.9189,79.8495,6000,90,0,0,0,0.0
28,The Gallery Cafe,Colombo,Restaurant,Cafe,6.8953,79.8524,4000,90,0,0,1,0.0
29,Upalis by Nawaloka,Colombo,Restaurant,Local,6.9126,79.8635,2500,60,0,0,0,0.0
30,Palmyrah Restaurant,Colombo,Restaurant,Local,6.9063,79.8515,4500,90,0,0,0,0.0
31,Green Cabin,Colombo,Restaurant,Local,6.8995,79.8541,1500,60,0,0,0,0.0
32,Beach Wadiya,Colombo,Restaurant,Seafood,6.8797,79.853,3500,90,1,0,0,0.0
33,Nihonbashi,Colombo,Restaurant,Fine Dining,6.9265,79.8485,12000,120,0,0,0,0.0
34,The Lagoon,Colombo,Restaurant,Seafood,6.9188,79.8494,8000,120,0,0,0,0.0
35,Chutneys,Colombo,Restaurant,Indian,6.9187,79.8493,4000,90,0,0,0,0.0
36,Shanmugas,Colombo,Restaurant,Indian,6.8821,79.8572,3000,60,0,0,0,0.0
37,Barefoot Garden Cafe,Colombo,Restaurant,Cafe,6.8955,79.8532,2000,90,0,0,0,0.0
38,t-Lounge by Dilmah,Colombo,Restaurant,Cafe,6.9326,79.844,1800,60,0,0,0,0.0
39,Sugar Bistro & Wine Bar,Colombo,Restaurant,Cafe,6.9205,79.848,5000,90,0,0,0,0.0
40,Kaema Sutra,Colombo,Restaurant,Local,6.9262,79.8444,6000,90,0,0,0,0.0
41,Pettah Market Walk,Colombo,Activity,Shopping,6.938,79.8511,0,120,0,0,1,0.0
42,Good Market Colombo,Colombo,Activity,Shopping,6.9037,79.8615,0,90,0,0,0,0.0
43,Spa Ceylon Royal Indulgence,Colombo,Activity,Leisure,6.9329,79.8437,10000,120,0,0,0,0.0
44,Royal Colombo Golf Club,Colombo,Activity,Leisure,6.9135,79.8822,8000,240,0,1,0,0.0
45,Majestic City,Colombo,Activity,Shopping,6.8938,79.8546,0,120,0,0,0,0.0
46,Crescat Boulevard,Colombo,Activity,Shopping,6.9176,79.8481,0,90,0,0,0,0.0
47,Dehiwala Zoo,Colombo,Activity,Leisure,6.8555,79.8735,3000,180,0,1,0,0.0
48,Casino Marina,Colombo,Activity,Fun-time,6.9022,79.8504,5000,180,0,0,0,0.0
49,Excel World Entertainment Park,Colombo,Activity,Fun-time,6.9172,79.8647,2000,120,0,0,0,0.0
50,Colombo City Open Deck Bus Tour,Colombo,Activity,Leisure,6.9216,79.8447,4000,150,1,0,1,0.0
51,Temple of the Sacred Tooth Relic,Kandy,Landmark,Temple,7.2936,80.6413,2000,120,0,0,1,1.0
52,Kandy Lake,Kandy,Landmark,Lake,7.2916,80.6428,0,60,0,1,0,0.0
53,Peradeniya Botanical Gardens,Kandy,Landmark,Park,7.2714,80.5954,3000,180,0,1,0,0.0
54,Bahirawakanda Vihara Buddha Statue,Kandy,Landmark,Temple,7.2922,80.6288,300,45,0,0,1,1.0
55,Udawatta Kele Sanctuary,Kandy,Landmark,Park,7.2995,80.6426,800,120,0,1,1,0.0
56,Ceylon Tea Museum,Kandy,Landmark,Museum,7.2625,80.6322,1000,90,0,0,1,0.0
57,National Museum of Kandy,Kandy,Landmark,Museum,7.2935,80.642,1200,60,0,0,1,0.0
